Baglamukhi Temple,Temple,"Around 30 km from Kangra District, Baglamukhi Temple is a Siddha Peeth close to both Jwala Ji and Chintpurni Devi Temple. The deity, Baglamukhi is one of the 10 Mahavidyas and believed to be the destroyer of all evils. Yellow colour is the most favourite colour of the Goddess. That is why the temple is painted in yellow colour. The devotees do wear yellow attire and yellow desserts (besan ki laddoo) are offered to the deity. People worship the deity to win the legal confrontations, to defeat their enemy, to prosper in business and to win the heart of beloved."
Jwalamukhi Temple,Temple,"One of the oldest known pilgrimage destinations of Northern India, Jwala Ji Temple is around 32km South-West of Kangra and esteemed by the devoted Hindus of the country. There are several other temples dedicated to Goddess Jwala Ji, among which the one in Kangra district is believed to be the most auspicious. The temple is located in Jwalamukhi Town of Kangra. The main attraction of Jwala Ji Temple is the eternal flames representing the image of deity, Jwala Ji. The four cornered sanctum-sanctorum of the temple is set with a small dome and a square central pit where the sacred stone is found. The main flame of this temple keeps burning constantly. It is one of the 51 Shakti Peethas found in different corners of the South-East Asia. It is believed that the tongue of Goddess Sati fell on this ground. Offering coconut is a popular practice in Jwala ji Temple."
Brijeshwari Temple,Temple,"The Bajreshwari Devi Temple is a popular Hindu pilgrimage site in Kangra District of Himachal Pradesh behind the crowded market of Kangra Town. It is said to be constructed by Goddess Bajreshwari itself at a place where once the famous Ashwamedh or horse-sacrifice took place. Standing behind the cricket field, numerous food selling stalls and bustling streets, the temple stands high and proves its presence by the echoing sounds of its huge bells. The annual Makar Sankranti festival is celebrated at this temple with great pomp and show. On this auspicious occasion ghee is applied on the idol of the goddess and water is poured 100times. After that the idol is decorated by flowers.ÿ"
Chamunda Devi Temple,Temple,"Chamunda Devi Temple is a renowned holy shrine of the Hindus. Located in Kangra district of Himachal Pradesh, Chamunda Devi Mandir is at a distance of 10 kms from Palampur, on the banks of Baner River. This ancient temple dates back to the 16th century. The temple is dedicated to Chamunda Devi, who is a form of Durga / Shakti. Chamunda Devi Mandir is believed to be the abode of 'Shiva and Shakti'. Due to this reason, it is also known as 'Chamunda Nandikeshwar Dham'.ÿ"
Baijnath Temple,Temple,"Baijnath Temple is a revered shrine of Himachal Pradesh. Located at a distance of 16 kms from Palampur in the Beas valley, Baijnath Temple is dedicated to Lord Shiva. According to the inscriptions on the walls, Baijnath Mandir was built by the two native merchants by the name of Ahuka and Manyuka in 1204 A.D. In the porch of the temple, the two long inscriptions state that before the present temple, there was a shrine of Lord Shiva at the same spot.The structure of this temple gives the hints of the early medieval North Indian style of architecture. This type of structure used to be known as 'Nagara' style of temple. The architectural style has been imbibed from Orissan style, which is very much unique in the state of Himachal Pradesh. "
Mahakal Temple,Temple,"Just 5 kms. away from Baijnath, another temple attracts the devotees because of its timeless appeal?Maha Kaal?The abode of the mighty Shiva, the lord of the Destruction! This is the feeling that comes to mind when one thinks of the temple of Shiva at Maha Kaal"
Bhagsunath Temple,Temple,"A medieval shrine, Bhagsunath is Shiva Temple situated about 3kms from Mcleodganj. The temple has been highly revered by the Hindus and the Gorkha Community. The sacred shrine is famed for its two pools that are believed to have healing properties. The best time to visit Bhagsunath Temple is during the annual fair that takes place here in the month of September. The Dal Lake, Kotwali Bazaar and Bhagsu Fall are the main attractions around this holy shrine."
Indru Nag Temple,Temple,"At a distance of 5 km from Dharamshala Bus Station and 8 km from McLeod Ganj Bus Stand, Indru Nag Temple is situated at Indru Nag near Chohla village in Dharamshala.Indru Nag is an ancient temple built by local villagers and is dedicated to Snake King. People offer prayers to the Indru Nag and they strongly believe that this God saves them from the natural disasters, especially heavy rains. The temple is located on the hill top and one can get the panoramic view of Dharamshala and Dhauladhar ranges.The Khanyara road from Dharamshala leads to Chohla village. From Chohla, visitors need to trek 1 km to reach the Indru Nag temple. Adventure lovers can trek the whole distance from Dharamshala In the Month of July many devotees of the surrounding villagers visit the Temple.Indru Nag is also famous for Paragliding since 2011. There is a small plateau located at the hilltop which is used by paragliders as a launching pad for a 15-20 minutes ride. The altitude of the site is close to 2000 m and it offers a short but beautiful flight over the town of Dharamshala. Best time for paragliding at Indru Nag is between October and December. The famous slate mines of Khanyara are just 5 km from the paragliding site."
Kunal Pathri Temple,Temple,"There is a little rock temple dedicated the the local goddess Durga. This is called the Kunal Pathri (3 Km). It is 3 km from Dharamshala's Kotwali Bazaar. An almost level walk leads to the temple dedicated to Goddess Durga.Kunal Pathri Temple, DharamsalaKumar Pathri is a small town near Dharamsala, located in the Dhauladhar Ranges in Kangra district of Himachal Pradesh. The major attraction here is the temple of Mata Kunal Pathri, dedicated to local Goddesses Durga. This place is surrounded by dense tea gardens and is a perfect place to have a natural walk. The temple premises offer a good view of Dhauladhar Range and low lying lawns.The temple is consecrated to Kapaleshwari. It possesses exquisite carvings of gods and goddesses. Kunal Pathri rock temples ancient temples in the Kangra region developed for offering prayers by tribes."
Aghanzar Temple,Temple,"The Aghanjar Mahadev Temple has a gorgeous location near the scenic Khaniyara village surrounded by forests, mountains and a charming stream that flows right next to it.It is believed that once upon a time when Arjuna, one of the Pandavas from the Mahabharata, was on his way to the Kailash Mountains, Lord Shiva appeared in front of him at this spot and blessed him with the boon of victory over the Kauravas.It is 8.5 kilometres from Dharamshala, a few meters from the Khaniyara village"
